product_key,sku_canon,product_name,brand_canon,category_canon,rrp_eur,valid_from,valid_to
61,SKU-84991,Yoga Mat Pro,Manduka,Fitness,89.99,2024-01-01,2099-12-31
62,SKU-85122,Yoga Block,Manduka,Fitness,19.99,2024-01-01,2099-12-31
63,SKU-85253,Resistance Set,TRX,Fitness,149.99,2024-01-01,2099-12-31
64,SKU-85384,Pull-Up Bar,Reebok,Fitness,59.99,2024-01-01,2099-12-31
65,SKU-85515,Boxing Gloves,Everlast,Fitness,49.99,2024-01-01,2099-12-31
66,SKU-85646,Tennis Racquet Pro,Wilson,Tennis,199.99,2024-01-01,2099-12-31
67,SKU-85777,Tennis Racquet Lite,Wilson,Tennis,129.99,2024-01-01,2099-12-31
68,SKU-85908,Tennis Balls 4x,Wilson,Tennis,14.99,2024-01-01,2099-12-31
69,SKU-86039,Padel Racquet,Head,Padel,199.99,2024-01-01,2099-12-31
70,SKU-86170,Padel Balls 3x,Head,Padel,11.99,2024-01-01,2099-12-31
71,SKU-86301,Football Pro Ball,Adidas,Football,39.99,2024-01-01,2099-12-31
72,SKU-86432,Football Boots Elite,Nike,Football,229.99,2024-01-01,2099-12-31
73,SKU-86563,Football Boots Mid,Adidas,Football,129.99,2024-01-01,2099-12-31
74,SKU-86694,Shin Guards,Nike,Football,24.99,2024-01-01,2099-12-31
75,SKU-86825,Goalie Gloves,Adidas,Football,59.99,2024-01-01,2099-12-31
76,SKU-86956,Ski Helmet,Atomic,Ski,149.99,2024-01-01,2099-12-31
77,SKU-87087,Ski Goggles,Atomic,Ski,109.99,2024-01-01,2099-12-31
78,SKU-87218,Ski Jacket,Salomon,Ski,299.99,2024-01-01,2099-12-31
79,SKU-87349,Ski Pants,Salomon,Ski,199.99,2024-01-01,2099-12-31
80,SKU-87480,Trekking Pole,Black Diamond,Outdoor,89.99,2024-01-01,2099-12-31
81,SKU-87611,Headlamp,Petzl,Outdoor,59.99,2024-01-01,2099-12-31
